Brand,Model,MPG
Hyundai iLoad (2009 - 2015),iload-2009,30–32
Hyundai i800 (2008 - 2022),i800-2008,22–35
Daihatsu Terios (2006 - 2009),terios-2006,24–38
Daihatsu Sirion (2005 - 2009),sirion-2005,32–60
Daihatsu Materia (2007 - 2009),materia-2007,36–48
Daihatsu Charade (2003 - 2006),charade-2003,45–64
Genesis G70 (2022 on),g70-2022,-
DS 9 (2020 on),ds9-2020,-
Ferrari FF  (2011 on),ff-2011,12–13
Ford Transit Custom (2013 on),transit-custom-2013,23–42
Dacia Duster Commercial (2015 on),duster-commercial-2015,40–57
Dacia Sandero (2021 on),sandero-2021,36–51
Cadillac CTS (2008 - 2010),cts-2008,24–27
Citroen SpaceTourer (2016 on),space-tourer-2016,34–50
Citroen C4 Picasso (2013 - 2018),c4-picasso-2013,22–66
Volvo XC90 (2015 on),xc90-2015,20–47
Hyundai iLoad (2009 - 2015),iload-2009,30–32
BMW 4 Series  Convertible (2014 - 2020),4-series-convertible-2014,19–56
Volvo XC90 (2002 - 2015),xc90-2002,19–38
BMW 3 Series (2019 on),3-series-2019,30–62
BMW M5 (2011 - 2017),m5-2011,18–26
BMW Z4 (2019 on),z4-2019,33–45
BMW Z4 (2009 - 2016),z4-2009,20–42
BMW Z4  Coupe (2006 - 2008),z4-coupe-2006,20–35
BMW Z4 (2003 - 2009),z4-2003,21–45
BMW X6 (2020 on),x6-2019,39
BMW X7 (2019 on),x7-2019,30–36
Dacia Duster Commercial (2015 on),duster-commercial-2015,40–57
BMW X6 (2008 - 2014),x6-2008,20–38
BMW X5 (2014 - 2018),x5-2014,15–46
BMW X5 (2018 on),x5-2018,22–39
BMW X4 (2014 - 2018),x4-2014,25–49
BMW X5 (2007 - 2013),x5-2007,16–36
BMW X3 (2018 on),x3-2018,16–52
BMW X3 (2004 - 2010),x3-2004,16–45
BMW X3 (2010 - 2018),x3-2010,27–52
BMW X2 (2018 on),x2-2018,32–58
BMW X1 (2015 - 2022),x1-2015,27–59
BMW M8 Competition (2020 on),m8-competition-2018,-
BMW X1 (2009 - 2015),x1-2009,22–65
BMW M6 (2012 - 2018),m6-2012,15–26
BMW M5 (2018 on),m5-2018,15–24
BMW M4 (2014 - 2021),m4-2014,17–32
BMW M3 (2014 - 2021),m3-2014,17–32
BMW M3 (2007 - 2013),m3-2007,15–25
BMW M2 (2016 - 2021),m2-2016,19–33
BMW i8 (2014 - 2020),i8-2014,37–60
BMW 8 Series (2018 on),8-series-coupe-2018,19–43
BMW i3 (2013 - 2022),i3-2013,300–398
BMW ActiveHybrid 5 (2012 - 2017),activehybrid-5,26–36
BMW 8 Series  Gran Coupe (2020 on),8-series-gran-coupe,-
BMW 8 Series  Convertible (2019 on),8-series-convertible-2019,-
BMW 7 Series (2009 - 2016),7-series-2009,18–45
BMW 7 Series (2016 - 2022),7-series-2016,12–90
BMW 7 Series (2002 - 2009),7-series-2002,17–41
BMW 6 Series (2011 - 2018),6-series-2011,23–46
BMW 6 Series  Gran Turismo (2017 - 2019),6-series-gran-turismo-2017,21–53
BMW 6 Series (2004 - 2011),6-series-2004,17–45
BMW 6 Series  Gran Coupe (2012 - 2018),6-series-gran-coupe-2012,30–46
BMW 6 Series  Convertible (2011 - 2018),6-series-convertible-2011,20–44
BMW 5 Series (2003 - 2010),5-series-2003,17–55
BMW 5 Series (2017 on),5-series-2017,22–66
BMW 5 Series (2010 - 2017),5-series-2010,21–60
BMW 5 Series  Touring (2017 on),5-series-touring-2017,23–58
BMW 5 Series  Touring (2004 - 2010),5-series-touring-2004,22–50
BMW 4 Series (2013 - 2020),4-series-2013,22–59
BMW 5 Series  Touring (2010 - 2017),5-series-touring-2010,25–55
BMW 4 Series (2020 on),4-series-2020,37–46
BMW 4 Series  Gran Coupe (2014 - 2020),4-series-gran-coupe-2014,24–58
BMW 5 Series  GT (2009 - 2017),5-series-gran-turismo-2009,26–48
BMW 4 Series  Convertible (2021 on),4-series-convertible-2020,47–48
BMW 3 Series  Touring (2019 on),3-series-touring-2019,56
BMW 3 Series (2012 - 2019),3-series-2012,22–71
BMW 3 Series (2005 - 2012),3-series-2005,19–59
BMW 3 Series  GT (2013 - 2020),3-series-gran-turismo-2013,23–64
BMW 2 Series  Gran Tourer (2015 - 2021),2-series-gran-tourer-2015,26–64
BMW 3 Series  Coupe (2006 - 2012),3-series-coupe-2006,20–58
BMW 2 Series  Coupe (2022 on),2-series-coupe-2021,-
BMW 2 Series  Gran Coupe (2020 on),2-series-gran-coupe-2020,41
BMW 2 Series  Coupe (2014 - 2020),2-series-coupe-2014,21–60
BMW 2 Series  Convertible (2015 - 2021),2-series-convertible-2015,24–54
BMW 3 Series  Convertible (2007 - 2012),3-series-convertible-2007,19–57
BMW 1 Series (2011 - 2019),1-series-2011,22–71
BMW 3 Series  Touring (2012 - 2019),3-series-touring-2012,24–68
BMW 2 Series  Active Tourer (2022 on),2-series-active-tourer-2022,43–64
BMW 1 Series (2004 - 2011),1-series-2004,22–60
BMW 3 Series  Touring (2005 - 2012),3-series-touring-2005,20–60
BMW 1 Series  Convertible (2008 - 2014),1-series-convertible-2008,20–58
BMW 1 Series  Coupe (2008 - 2013),1-series-coupe-2008,20–59
Volvo XC70 (2007 - 2016),xc70-2007,26–51
Volvo XC60 (2017 on),xc60-2017,21–69
Volvo XC40 (2018 on),xc40-2018,23–56
Volvo V90 (2016 on),v90-2016,23–57
Volvo V90  Cross Country (2017 on),v90-cross-country-2017,22–52
Volvo V70 (2007 - 2016),v70-2007,21–65
Volvo V60 (2018 on),v60-2018,25–80
Volvo V60  Cross Country (2019 on),v60-cross-country-2019,34–43
Volvo V60 (2010 - 2018),v60-2010,17–102
Volvo S80 (2006 - 2016),s80-2006,22–64
Volvo V50 (2004 - 2012),v50-2004,24–68
Volvo V40 (2012 - 2019),v40-2012,26–73
Volvo S90 (2016 on),s90-2016,22–60
BMW 1 Series (2019 on),1-series-2019,25–61
Volvo S60 (2010 - 2018),s60-2010,21–64
BMW 2 Series  Active Tourer (2014 - 2021),2-series-active-tourer-2014,27–81
Volvo XC60 (2008 - 2017),xc60-2008,21–53
Volvo S60 (2018 on),s60-2018,26–40
Volvo C30 (2010 - 2013),c30-2010,21–70
Chevrolet Trax (2013 - 2015),trax-2013,28–56
Cadillac BLS (2006 - 2010),bls-2006,-
Volvo S40 (2004 - 2012),s40-2004,24–67
Cadillac CTS (2004 - 2008),cts-2004,23–25
Volvo C70 (2010 - 2013),c70-2010,19–55
Chevrolet Volt (2012 - 2014),volt-2012,182–235
Chevrolet Spark (2010 - 2015),spark-2010,35–59
Chevrolet Cruze (2009 - 2015),cruze-2009,19–51
Chevrolet Orlando (2011 - 2015),orlando-2011,21–48
Chevrolet Epica (2008 - 2010),epica-2008,24–50
Chevrolet Cruze  Station Wagon (2012 - 2015),cruze-station-wagon-2012,26–61
Citroen SpaceTourer (2016 on),space-tourer-2016,34–50
Chevrolet Captiva (2007 - 2015),captiva-2007,22–39
Chevrolet Camaro (2012 - 2015),camaro-2012,-
Chevrolet Cruze  Hatchback (2011 - 2015),cruze-hatchback-2011,28–62
Chevrolet Aveo (2011 - 2015),aveo-2011,29–69
Chrysler Grand Voyager (2008 - 2015),grand-voyager-2008,24–33
Chrysler Delta (2011 - 2014),delta-2011,30–59
Chrysler 300C (2012 - 2015),300c-2012,32–38
Citroen Relay (2006 on),relay-2006,25–40
Chrysler 300C (2005 - 2010),300c-2005,13–36
Citroen Dispatch (2007 - 2016),dispatch-2007,28–50
