Car Name,CO2
Dacia  - Spring - Spring Electric,62
Dacia  - Spring - Spring,56
Dacia  - Spring - Spring,72
Dacia  - Spring - Comfort Plus,81
Volkswagen  - Up! - e Up!,55
Dacia  - Spring - Expression,24
Dacia  - Spring - Spring,67
Dacia  - Spring - Comfort Plus,61
Dacia  - Spring - Spring Extreme,81
Volkswagen  - Up! - e-Up,0
Dacia  - Spring - Comfort Plus ,62
Volkswagen  - Up! - E-UP,25
Dacia  - Spring - Spring,73
Volkswagen  - Up! - e-Up!,56
Dacia  - Spring - One Electric,74
Dacia  - Spring - comfort Plus ccs,62
Dacia  - Spring - comfort plus,41
Volkswagen  - Up! - E-UP!,0
Volkswagen  - Up! - e-up,51
Volkswagen  - Up! - Style,62
Volkswagen  - Up! - Nuova E-up,61
Volkswagen  - Up! - e-up! Style,61
Dacia  - Spring - comfort plus,51
Dacia  - Spring - Comfort Plus,80
Volkswagen  - Up! - e-UP!,63
Volkswagen  - Up! - e-Up! United,45
Dacia  - Spring - Comfort plus,70
Volkswagen  - Up! - e-up ,56
Dacia  - Spring - Spring Electric,67
Volkswagen  - Up! - e up Style,57
Volkswagen  - Up! - e-up! United,7
Dacia  - Spring - Spring,22
Dacia  - Spring - Spring,30
Dacia  - Spring - Spring Comfort Plus,72
Dacia  - Spring - Comfort Plus,63
Dacia  - Spring - Comfort Plus,61
Dacia  - Spring - Spring Comfort,69
Dacia  - Spring - Confort Plus,7
Volkswagen  - Up! - E-Up,0
Dacia  - Spring - Essential ,79
Volkswagen  - Up! - E-up 2,48
"Volkswagen  - Up! - e-up! Style ""Plus""",0
Volkswagen  - Up! - e-up!,65
Volkswagen  - Up! - e-up!,65
Dacia  - Spring - Spring,60
Volkswagen  - Up! - E-UP,65
Volkswagen  - Up! - E-Up! Style,56
Volkswagen  - Up! - E-UP!,65
Volkswagen  - Up! - e-up,66
Volkswagen  - Up! - E UP!,65
Dacia  - Spring - Confort plus,58
Volkswagen  - Up! - Style,59
Volkswagen  - Up! - style,66
Volkswagen  - Up! - e-Up United,69
Volkswagen  - Up! - 2019,66
Volkswagen  - Up! - e-up!,66
Volkswagen  - Up! - e Up!,67
Volkswagen  - Up! - E-Up,56
Volkswagen  - Up! - E Up Active,7
Volkswagen  - Up! - United ,62
Volkswagen  - Up! - Style Plus,2
Volkswagen  - Up! - e-Up,68
Dacia  - Spring - Confort,68
Volkswagen  - Up! - E-Up,8
Volkswagen  - Up! - E-Up! Highline,34
Volkswagen  - Up! - e-up!,68
Volkswagen  - Up! - e-up! United ,63
Volkswagen  - Up! - e-up! Active,61
Volkswagen  - Up! - e-up Style Plus,40
Volkswagen  - Up! - e-UP!  2020,51
Volkswagen  - Up! - team,0
Volkswagen  - Up! - e-up! 61 kW (83 PS) 1-Gang-Automatik,69
Volkswagen  - Up! - e-up,68
Volkswagen  - Up! - E-Up! CCS,69
Volkswagen  - Up! - e-up!,62
Volkswagen  - Up! - e-up!,69
Volkswagen  - Up! - e-up United,5
Volkswagen  - Up! - e-up!,70
Volkswagen  - Up! - e Up! ,70
Volkswagen  - Up! - e-up! Style,62
Volkswagen  - Up! - VW e-up! Style 2020,71
Volkswagen  - Up! - eUp! united,62
Volkswagen  - Up! - eUp! ,71
Volkswagen  - Up! - E-Up Style,0
"Volkswagen  - Up! - e-Up! ""UNITED""",0
Volkswagen  - Up! - e-up!,72
Volkswagen  - Up! - e-Up!,66
Dacia  - Spring - Spring ,72
Dacia  - Spring - Comfort Plus,0
Volkswagen  - Up! - up,71
Volkswagen  - Up! - e-up!,0
Volkswagen  - Up! - e-up!,63
Dacia  - Spring - Comfort Plus,88
Volkswagen  - Up! - e-up! ,0
Volkswagen  - Up! - E-UP,71
Volkswagen  - Up! - Style Plus,24
Volkswagen  - Up! - e-up united,63
Dacia  - Spring - Spring Essential ,70
Dacia  - Spring - Spring,68
Volkswagen  - Up! - e-Up! ,1
Dacia  - Spring - Spring Electric,80
Volkswagen  - Up! - E-Up!,72
Dacia  - Spring - Comfort Plus,61
Dacia  - Spring - Comfort Plus,92
Volkswagen  - Up! - e-up!,56
Dacia  - Spring - Essential CCS,97
Volkswagen  - Up! - e-Up,72
Volkswagen  - Up! - e up! entry,72
Volkswagen  - Up! - e-up! Style ,0
Volkswagen  - Up! - e-Up,64
"Volkswagen  - Up! - Style ""Plus""",58
Volkswagen  - Up! - united,74
Volkswagen  - Up! - E-Up! Modell 2019,64
Volkswagen  - Up! - e-Up,46
Volkswagen  - Up! - e-Up,57
Volkswagen  - Up! - eUP 2020,64
Volkswagen  - Up! - e-up,74
Volkswagen  - Up! - e-UP!,0
Volkswagen  - Up! - e-Up!,65
Volkswagen  - Up! - e-Up! 83PS/210Nm,36
Volkswagen  - Up! - E-Up!,0
Volkswagen  - Up! - Style Plus,74
Volkswagen  - Up! - e-up! Style,74
Volkswagen  - Up! - e-Up!,54
Volkswagen  - Up! - e-Up!,0
Volkswagen  - Up! - BL33F1 e-up! 61 kW (83 PS) 1-Gang-Automatik,76
Volkswagen  - Up! - e-UP!,75
Volkswagen  - Up! - E-UP United,0
Volkswagen  - Up! - e up High-Line ,75
Volkswagen  - Up! - E-Up!,74
Volkswagen  - Up! - e-up!,77
Volkswagen  - Up! - e-up!,73
Volkswagen  - Up! - E-Up,76
Volkswagen  - Up! - E UP,76
